date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:16	106/106	---M--	200	added ('OK')	text/plain	date:Sun,%2013%20Sep%202020%2023:46:15%20GMT	http://scione.io/robots.txt		(from )
19:46:16	50296/50296	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Sep%202020%2023:46:16%20GMT	http://scione.io/	C:/Users/design/Documents/GitHub/scioneio.github.io/scione.io/index.html	(from )
19:46:17	260887/260887	---M--	200	added ('OK')	text/javascript	etag:%22e092033a626acaee%22	https://cdn.ampproject.org/v0.js	C:/Users/design/Documents/GitHub/scioneio.github.io/cdn.ampproject.org/v0.js	(from http://scione.io/)
19:46:17	48447/48447	---M--	200	added ('OK')	text/javascript	etag:%22d096fb92ee2e2c93%22	https://cdn.ampproject.org/v0/amp-bind-0.1.js	C:/Users/design/Documents/GitHub/scioneio.github.io/cdn.ampproject.org/v0/amp-bind-0.1.js	(from http://scione.io/)
19:46:17	47908/47908	---M--	200	added ('OK')	text/javascript	etag:%220f08ddfda6d17dd5%22	https://cdn.ampproject.org/v0/amp-form-0.1.js	C:/Users/design/Documents/GitHub/scioneio.github.io/cdn.ampproject.org/v0/amp-form-0.1.js	(from http://scione.io/)
19:46:19	3304/3304	---M--	200	added ('OK')	font/woff	etag:%22ce8-5af2134556dc7%22	http://scione.io/wp-content/themes/astra/assets/fonts/astra.woff	C:/Users/design/Documents/GitHub/scioneio.github.io/scione.io/wp-content/themes/astra/assets/fonts/astra.woff	(from http://scione.io/)
19:46:19	3228/3228	---M--	200	added ('OK')	font/ttf	etag:%22c9c-5af21345565f8%22	http://scione.io/wp-content/themes/astra/assets/fonts/astra.ttf	C:/Users/design/Documents/GitHub/scioneio.github.io/scione.io/wp-content/themes/astra/assets/fonts/astra.ttf	(from http://scione.io/)
19:46:20	7722/7722	---M--	200	added ('OK')	image/svg+xml	etag:%221e2a-5af2134554e7f%22	http://scione.io/wp-content/themes/astra/assets/fonts/astra.svg	C:/Users/design/Documents/GitHub/scioneio.github.io/scione.io/wp-content/themes/astra/assets/fonts/astra.svg	(from http://scione.io/)
19:46:20	762/762	---M--	200	added ('OK')	text/xml	date:Sun,%2013%20Sep%202020%2023:46:20%20GMT	http://scione.io/xmlrpc.php?rsd	C:/Users/design/Documents/GitHub/scioneio.github.io/scione.io/xmlrpc0db0.php	(from http://scione.io/)
19:46:20	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-5af165fd01b79%22	http://scione.io/wp-includes/wlwmanifest.xml	C:/Users/design/Documents/GitHub/scioneio.github.io/scione.io/wp-includes/wlwmanifest.xml	(from http://scione.io/)
