date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:02:30	107/107	---M--	200	added ('OK')	text/plain	date:Mon,%2014%20Sep%202020%2000:02:29%20GMT	https://scione.io/robots.txt		(from )
20:02:30	50345/-1	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202020%2000:02:29%20GMT	https://scione.io/	C:/Users/design/Documents/GitHub/scioneio.github.io/index-2.html	(from )
20:02:35	415/415	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Mon,%2014%20Sep%202020%2000:02:30%20GMT	https://scione.io/wp-content/themes/astra/assets/fonts/astra.woff	C:/Users/design/Documents/GitHub/scioneio.github.io/wp-content/themes/astra/assets/fonts/astra.woff	(from https://scione.io/)
20:02:41	415/415	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Mon,%2014%20Sep%202020%2000:02:36%20GMT	https://scione.io/wp-content/themes/astra/assets/fonts/astra.ttf	C:/Users/design/Documents/GitHub/scioneio.github.io/wp-content/themes/astra/assets/fonts/astra.ttf	(from https://scione.io/)
20:02:47	415/415	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Mon,%2014%20Sep%202020%2000:02:42%20GMT	https://scione.io/wp-content/themes/astra/assets/fonts/astra.svg	C:/Users/design/Documents/GitHub/scioneio.github.io/wp-content/themes/astra/assets/fonts/astra.svg	(from https://scione.io/)
20:02:48	4976/4976	---M--	200	added ('OK')	application/rss+xml	etag:%2217b0e2d1d87b1e48c232be6b875fe639%22	https://scione.io/feed/	C:/Users/design/Documents/GitHub/scioneio.github.io/feed/index.html	(from https://scione.io/)
20:02:49	1636/1636	---M--	200	added ('OK')	application/rss+xml	etag:%2260cdfe94a3ec80b975953f2ba6ce7ebf%22	https://scione.io/comments/feed/	C:/Users/design/Documents/GitHub/scioneio.github.io/comments/feed/index.html	(from https://scione.io/)
20:02:51	82570/-1	---M--	200	added ('OK')	application/json	date:Mon,%2014%20Sep%202020%2000:02:49%20GMT	https://scione.io/wp-json/	C:/Users/design/Documents/GitHub/scioneio.github.io/wp-json/index.html	(from https://scione.io/)
20:02:57	768/768	UR-M--	200	updated ('Partial%20Content')	text/xml	date:Mon,%2014%20Sep%202020%2000:02:51%20GMT	https://scione.io/xmlrpc.php?rsd	C:/Users/design/Documents/GitHub/scioneio.github.io/xmlrpc0db0.php	(from https://scione.io/)
20:03:02	415/415	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Mon,%2014%20Sep%202020%2000:02:57%20GMT	https://scione.io/wp-includes/wlwmanifest.xml	C:/Users/design/Documents/GitHub/scioneio.github.io/wp-includes/wlwmanifest.xml	(from https://scione.io/)
20:03:04	47084/-1	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202020%2000:03:03%20GMT	https://scione.io/sample-page/	C:/Users/design/Documents/GitHub/scioneio.github.io/sample-page/index.html	(from https://scione.io/)
20:03:05	31498/-1	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202020%2000:03:04%20GMT	https://scione.io/search/	C:/Users/design/Documents/GitHub/scioneio.github.io/search/index.html	(from https://scione.io/)
